,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
507,-0.70710678,0.70710678,-0.8479983,-0.52999894,None,None,-0.62732954,0.77875391,None,None,-0.19110215,-0.98157015,-0.13898863,-0.99029398,0.5547002,0.83205029,-0.44242424,-0.89680588,None,None,-0.07387169,-0.99726775,None,None
508,-0.99227788,-0.12403473,-0.95103407,-0.30908607,None,None,-0.24667928,0.96909717,None,None,-0.18271234,-0.98316642,-0.10943058,-0.99399444,0.31622777,0.9486833,-0.37519276,-0.92694681,None,None,-0.41549436,-0.90959576,None,None
509,-0.70710678,-0.70710678,-0.99971667,-0.02380278,None,None,0.18711211,0.98233857,None,None,-0.15638522,-0.98769614,-0.10560091,-0.99440859,0.0,0.0,-0.37695475,-0.92623167,None,None,-0.34358153,-0.93912285,None,None
510,-0.91036648,-0.41380294,-0.85519783,-0.51830172,None,None,-0.41665471,0.90906482,None,None,-0.17666406,-0.98427121,-0.07124705,-0.9974587,0.0,0.0,-0.41216787,-0.91110792,None,None,-0.03656091,-0.99933143,None,None
511,-0.6,-0.8,-0.50980239,-0.86029153,None,None,-0.95721143,-0.2893895,None,None,-0.15596257,-0.98776297,-0.10943058,-0.99399444,0.9486833,0.31622777,-0.3925652,-0.91972418,None,None,0.37334043,-0.92769441,None,None
512,0.0,0.0,-0.2904816,-0.95688058,None,None,-0.60310827,-0.79765933,None,None,-0.1441109,-0.98956154,-0.10518252,-0.99445293,0.98639392,-0.16439899,-0.36945957,-0.9292468,None,None,0.51622005,-0.85645599,None,None
513,0.9486833,0.31622777,-0.08169324,-0.99665752,None,None,-0.49026124,-0.87157554,None,None,-0.12295375,-0.9924124,-0.13274336,-0.99115044,0.70710678,0.70710678,-0.38376367,-0.92343134,None,None,0.58969513,-0.80762594,None,None
514,0.70710678,-0.70710678,0.03770901,-0.99928876,None,None,-0.46400699,-0.88583154,None,None,-0.10748184,-0.99420705,-0.12973534,-0.99154866,-0.31622777,0.9486833,-0.42352941,-0.90588235,None,None,0.57179266,-0.82039817,None,None
515,0.0,0.0,0.06111006,-0.99813103,None,None,-0.41216787,-0.91110792,None,None,-0.0706197,-0.99750331,-0.11842675,-0.99296279,-0.78086881,0.62469505,-0.45196479,-0.89203578,None,None,0.56858074,-0.82262746,None,None
516,-0.70710678,0.70710678,0.06507914,-0.99788011,None,None,-0.42443388,-0.90545894,None,None,-0.07188561,-0.99741288,-0.11632207,-0.99321155,-0.98639392,0.16439899,-0.43772425,-0.89910927,None,None,0.5600739,-0.82844265,None,None
517,-0.89442719,0.4472136,0.10360608,-0.99461841,None,None,-0.40364021,-0.9149178,None,None,-0.04306346,-0.99907234,-0.10653312,-0.99430915,-0.87415728,0.48564293,-0.37139068,-0.92847669,None,None,0.49483862,-0.86898489,None,None
